alpha_deg,lambda0,lambda0_residual,lambda,lambda_residual,lambda1,lambda1_residual,lambda2,lambda2_residual,lambda1_symmetry,lambda1_symmetry_residual,lambda1_D1_printed,lambda1_D1_printed_residual,lambda1_symmetry_error
103.0,-0.07714724232470063,5.626549573478634e-11,-0.23336093949492126,4.1311148946121534e-11,-0.22439334879387912,4.396687180996395e-11,-0.15236414805932275,7.461087303539671e-11,-0.22439334879387912,8.79349856819367e-11,,,0.0
104.0,-0.08167205192849467,2.6868843955307753e-11,-0.24765007380691695,9.935739730959625e-12,-0.23741002270642392,3.561595116052807e-11,-0.15954457600342556,1.0459522137296062e-11,-0.23741002270642392,7.123318601642836e-11,,,0.0
105.0,-0.08596864493643483,9.409555079553655e-11,-0.2615246971618554,4.600667069531994e-12,-0.2499344224875025,1.4666694941878333e-11,-0.16641076280677186,8.610656632157543e-11,-0.2499344224875025,2.9334736029174024e-11,,,0.0
106.0,-0.09003461384544142,9.780185689090004e-11,-0.2750014368234272,9.61983132041766e-11,-0.26198289364965494,2.6139201914077148e-11,-0.17298960084476983,5.059841434729151e-11,-0.26198289364965494,5.22778764722176e-11,,,0.0
107.0,-0.09386806639881533,5.4447002462154614e-12,-0.2880960537614327,3.152866856481751e-12,-0.27357087333065333,7.226858000919378e-11,-0.1793047829513228,2.298994328242543e-11,-0.2735708733366138,4.3853046194364254e-11,,,5.960454352305078e-12
108.0,-0.09746758364841165,7.837967774815269e-11,-0.3008235194940888,9.939821188353903e-11,-0.2847130028389889,1.5225737337587475e-12,-0.18537734316407725,2.423283795849329e-12,-0.2847130028389889,3.0435931552830198e-12,,,0.0
109.0,-0.10083218543162925,6.113992992440309e-11,-0.31319808454992326,2.1403906425021546e-11,-0.2954232240226614,9.744360179864131e-11,-0.19122608224197257,3.646905000209699e-11,-0.29542322402862187,3.501185452670086e-12,,,5.960454352305078e-12
110.0,-0.10396130197575922,1.6554473070140574e-11,-0.325233339574454,8.725076217075411e-12,-0.3057148623103665,3.9604750035060476e-11,-0.19686790712560742,6.283629172543215e-11,-0.3057148623103665,7.921097111562858e-11,,,0.0
111.0,-0.10685475100980152,7.459372008966625e-11,-0.3369422699399648,2.5792701308091637e-11,-0.31560069816554426,7.118980405174113e-11,-0.20231810515436363,7.775524668574008e-11,-0.3156006981595838,6.393466311926943e-11,,,5.960454352305078e-12
112.0,-0.10951272064601132,3.0667721834243267e-11,-0.34833730499086124,2.4400148568304303e-11,-0.32509302883678926,3.010870719410974e-11,-0.2075905679772095,3.1317615167836266e-11,-0.32509302883678926,6.021634579855828e-11,,,0.0
113.0,-0.11193575676755643,7.463567632849666e-11,-0.359430362472972,2.2180618453049306e-11,-0.3342037216563225,2.8740884672195932e-11,-0.21269797636881854,1.886935052652916e-12,-0.3342037216563225,5.748072851030628e-11,,,0.0
114.0,-0.11412475518454618,7.903119218083399e-11,-0.3702328887189995,4.2800929467290416e-11,-0.3429442599117257,2.2095554552681307e-11,-0.2176519541824035,4.9723114514677036e-11,-0.3429442599117257,4.419171972802616e-11,,,0.0
115.0,-0.11608095767628301,3.4618002908715084e-12,-0.3807558952576925,7.896200360235639e-11,-0.35132578233997763,4.8146597819709314e-11,-0.2224631976917923,9.14601727686204e-13,-0.35132578233997763,9.629377850650656e-11,,,0.0
116.0,-0.11780595177668608,3.2802614791105356e-12,-0.3910099921566832,3.085659505686067e-11,-0.3593591169232876,6.991422718538587e-11,-0.22714158519244748,3.306288576254701e-11,-0.35935911691732714,7.897021925273862e-11,,,5.960454352305078e-12
117.0,-0.1193016736829975,4.74534300742846e-11,-0.40100541862351125,6.730754842365627e-11,-0.36705480966621673,2.2788562703546233e-11,-0.23169627049134944,1.642352920327994e-11,-0.36705480966621673,4.557684785133631e-11,,,0.0
118.0,-0.12057041402551208,7.336375257294137e-11,-0.4107520710078857,5.018502280407233e-11,-0.37442314902762175,9.72594227377499e-12,-0.23613576331365993,1.7116530415250963e-11,-0.37442314902762175,1.9452994770574605e-11,,,0.0
119.0,-0.12161482606917613,4.7895222510252466e-11,-0.4202595287773884,2.5834223649212618e-11,-0.3814741863590876,5.3133678012962093e-11,-0.24046799884346068,3.2573943542502093e-13,-0.38147418635610736,4.957340093980633e-12,,,2.980227176152539e-12
120.0,-0.12243793551259102,8.221616443204738e-11,-0.42953707847854095,8.049005906229922e-11,-0.3882177529041708,8.13863143545035e-11,-0.2447003982701501,4.331113245825691e-11,-0.3882177529101313,6.038824995613368e-11,,,5.960454352305078e-12
121.0,-0.12304315171752772,2.7370022914752212e-11,-0.4385937360289409,4.421735200210719e-11,-0.3946634738174126,7.424914849618602e-11,-0.2488399218246543,8.58335624798201e-12,-0.3946634738233731,7.516448574662604e-11,-0.002821494318570412,2.1371088695910055e-12,5.960454352305078e-12
122.0,-0.12343427977290705,5.847766715305625e-11,-0.44743826761465033,3.615474586382561e-11,-0.4008207793998137,8.202846735194669e-11,-0.25289311550946925,3.06588088250237e-11,-0.4008207793938532,5.991879215017093e-11,-0.015519101486493263,1.1376342142627172e-11,5.960509863456309e-12
123.0,-0.12361553222499334,6.010941744349907e-11,-0.4560792091689928,8.257272643419356e-11,-0.40669891404549185,4.8550247155887405e-11,-0.25686615247620254,8.563993958432548e-11,-0.40669891404549185,9.710043880062358e-11,-0.028059225747409475,5.978519415639205e-11,0.0
124.0,-0.12359154059301161,3.184291719193766e-11,-0.4645248848559542,4.017342014606129e-12,-0.4123069432035035,2.387541553350303e-11,-0.2607648698493237,7.567679816133932e-11,-0.4123069432035035,4.775180251215261e-11,-0.04043948062675751,2.8734315274392408e-12,0.0
125.0,-0.12336736500125797,1.0550116336105475e-11,-0.4727834245522241,8.804468265566356e-11,-0.4176537585276851,8.27459628593985e-11,-0.26459480178289896,5.126410407285675e-11,-0.4176537585217246,5.835074090576597e-11,-0.05265800607818784,4.999626233848087e-11,5.960509863456309e-12
126.0,-0.12294850195154501,2.561120759914104e-11,-0.4808627804947726,4.057865155004947e-12,-0.4227480815363791,9.742438800142139e-11,-0.268361209090059,6.63145094392803e-11,-0.42274808153041865,2.8631902404541165e-11,-0.06471342270719666,5.777960401798232e-11,5.960454352305078e-12
127.0,-0.12234088866242013,8.197595380288192e-11,-0.4887707432250926,4.224376404238228e-11,-0.42759846610390684,9.823988844637199e-11,-0.2720691061187338,3.2235547564596345e-11,-0.4275984660979464,2.6505492245476603e-11,-0.07660477683948674,9.386589075455198e-11,5.960454352305078e-12
128.0,-0.12155090368905352,4.3639813984697184e-11,-0.49651495706256554,3.5420555377640994e-12,-0.4322132998553183,5.3608631422896735e-11,-0.27572328521339784,5.5144333543921675e-11,-0.43221329985829854,3.959388372720696e-12,-0.08833148482638814,7.916856406553485e-11,2.980227176152539e-12
129.0,-0.12058536234560191,1.664501869669266e-12,-0.5041029350294641,3.88171716991792e-11,-0.4366008048101211,2.6067328851020477e-11,-0.27932833900720627,9.5915941855651e-11,-0.4366008048101211,5.2134324635133567e-11,-0.09989329718670457,2.3190917936011246e-11,0.0
130.0,-0.11945150681083737,7.295367088211435e-11,-0.5115420735196545,6.8544170339635e-11,-0.44076903728095373,8.40835734372547e-12,-0.2828886809796377,7.689404668553834e-12,-0.44076903728095373,1.6817880421626796e-11,-0.11129025588210523,7.843287130882004e-11,0.0
131.0,-0.11815698939116348,8.233458359541146e-11,-0.5188396667646442,6.408551467274037e-11,-0.4447258874265501,9.63281260313309e-11,-0.2864085644048092,8.060396794462577e-11,-0.4447258874325106,2.7049584794269776e-11,-0.1225226584589709,2.7880892039533478e-11,5.960509863456309e-12
132.0,-0.11670984906022769,6.222083959173119e-11,-0.5260029211446564,7.6453732233972e-11,-0.4484790784053537,3.379858892760268e-12,-0.28989210005405636,9.843503789852548e-11,-0.4484790784053537,6.759329207461917e-12,-0.13359102829375574,5.100399963486879e-11,0.0
133.0,-0.11511848008303716,4.130334962937354e-11,-0.5330389695473885,4.055644708955697e-11,-0.4520361653026338,6.028683802172807e-11,-0.2933432726289328,4.00803834565977e-11,-0.45203616530859425,9.676971723937555e-11,-0.14449608445688036,4.400539654891844e-11,5.960454352305078e-12
134.0,-0.11339159305836316,2.1671553440683056e-11,-0.5399548859234671,7.071232488442547e-11,-0.455404534087405,5.304812145112692e-11,-0.2967659563895483,8.985567845343212e-11,-0.4554045340844248,1.8940127244349014e-12,-0.15523871787087284,1.3683928989927097e-11,2.980227176152539e-12
135.0,-0.11153816823638468,3.8115732792221024e-11,-0.546757699996872,4.588018853723952e-11,-0.45859140043821467,4.552921234468599e-11,-0.300163929823271,8.739364787402337e-11,-0.45859140043821467,9.105874387849155e-11,-0.1658199668963084,8.962421083058558e-12,0.0
136.0,-0.10956740113541152,7.069600460596348e-11,-0.5534544124522014,7.777667399011534e-12,-0.4616038088252321,5.625801907660488e-11,-0.30354088972334503,8.06317235202414e-11,-0.46160380882821234,6.054240442310288e-12,-0.17624099825832235,5.77404096757661e-12,2.980227176152539e-12
137.0,-0.10748864167362215,9.878597939660949e-12,-0.5600520106106928,5.119782375828663e-11,-0.4644486316280997,2.5897624322812618e-11,-0.3069004646654996,2.152833467050641e-11,-0.4644486316280997,5.179477680083977e-11,-0.18650308816385933,8.361002168388865e-11,0.0
138.0,-0.10531132714960256,7.59250440296455e-11,-0.5665574848214993,8.549672081414883e-11,-0.46713256855776797,3.5186506486262203e-12,-0.3102462281328917,4.886091531375314e-12,-0.46713256855776797,7.037329052828056e-12,-0.19660760666141502,4.9786334777035535e-11,0.0
139.0,-0.10304491088366688,6.952655118297457e-11,-0.5729778456397473,8.312783794650613e-11,-0.46966214634059045,9.14942704932642e-11,-0.3135817112297773,3.7100766903108706e-11,-0.46966214633463,2.4433552403557712e-11,-0.2065560023822468,3.985053953492468e-11,5.960454352305078e-12
140.0,-0.10069878795047152,5.670242053668062e-11,-0.5793201421609266,9.041090098804716e-11,-0.47204371867064077,9.370040854328465e-11,-0.3169104152223272,6.257327989089845e-11,-0.4720437186766012,1.7938775465076162e-11,-0.21634978976113917,8.018941760612464e-11,5.960454352305078e-12
141.0,-0.09828221933806679,1.7480739078479246e-11,-0.5855914814996879,8.295808484604095e-11,-0.4742834666031025,2.9494531816887104e-11,-0.3202358239959985,6.481548631143141e-11,-0.4742834666031025,5.89892301672279e-11,-0.22599053854598533,2.54893120499311e-11,0.0
142.0,-0.09580425729904117,1.7725598766560324e-11,-0.5917990498064372,4.9324988538046455e-11,-0.4763873991205141,3.611808768733127e-11,-0.32356141639965574,9.108869214458082e-11,-0.4763873991205141,7.223645293041869e-11,-0.23547986216296146,9.932599187578717e-11,0.0
143.0,-0.09327367296664195,5.539552150324312e-11,-0.5979501350839966,5.0757176239812907e-11,-0.4783613542354539,8.647506322123633e-11,-0.3268906788281114,9.14601727686204e-12,-0.47836135422949344,2.5338953157927335e-11,-0.2448194089427233,3.9957356867681426e-11,5.960454352305078e-12
144.0,-0.09069888866774248,1.736755184111871e-11,-0.6040521519592934,1.203848132291796e-11,-0.48021100031376396,7.02916683192889e-11,-0.3302271178106265,2.3550272842953746e-11,-0.4802110003078035,5.5080648375671615e-11,-0.2540108552539505,2.84446077802869e-12,5.960454352305078e-12
145.0,-0.08808791655390052,6.29553631448232e-11,-0.6101126690895746,1.4179990515117424e-11,-0.4819418378626892,6.16526517338567e-11,-0.3335742730404859,3.644329282792569e-11,-0.4819418378567287,6.958933429501712e-11,-0.263055896538809,4.372142231590104e-11,5.960454352305078e-12
146.0,-0.08544830488565394,3.028166606355853e-11,-0.6161394392865938,7.599920692769047e-12,-0.4835592015693555,7.407959662364405e-11,-0.3369357306906755,2.8470559243487514e-12,-0.48355920157531596,4.181555102178436e-11,-0.271956242353844,3.5323022284927674e-11,5.960454352305078e-12
147.0,-0.08278709316214472,9.536743617033494e-11,-0.6221404331097884,1.7647994177139026e-11,-0.4850682627564824,4.5972493173396245e-11,-0.3403151373136849,6.798162033305744e-11,-0.4850682627564824,9.194487532449003e-11,-0.28071361007573037,1.141060856912901e-11,0.0
148.0,-0.08011077709743074,8.854489363940843e-11,-0.6281238764291261,2.73101541381493e-11,-0.4864740320526697,5.1447079235655835e-11,-0.3437162142896736,9.735545702937998e-11,-0.48647403205863016,8.078539226463732e-11,-0.28932971994216544,8.296251186035164e-11,5.960454352305078e-12
149.0,-0.0774252834434837,6.221129167371942e-11,-0.634098292720561,8.637923709642337e-11,-0.4877813624679979,4.540834375177383e-11,-0.34714277308525904,5.019762383540183e-11,-0.4877813624679979,9.08167707702745e-11,-0.29780629161864236,2.115151803705473e-12,0.0
150.0,-0.07473595499366163,3.57439633447143e-11,-0.6400725508331926,2.796596287879538e-11,-0.48899495264844195,5.8660160062729005e-12,-0.35059873141829667,4.161382349820997e-11,-0.48899495264844195,1.173210140148484e-11,-0.30614503904860824,6.494436238790868e-11,0.0
151.0,-0.07204754514676455,2.9246494115398036e-11,-0.6460559195752003,1.779287828185261e-11,-0.4901193504879116,8.538668383462067e-11,-0.3540881303644122,9.264833344957424e-11,-0.4901193504819511,2.269080756622799e-12,-0.314347667973911,5.692618598729382e-11,5.960509863456309e-12
152.0,-0.0693642216502067,7.01222413468372e-12,-0.6520581299410916,1.465638721498408e-11,-0.49115895684758193,2.0614053866663262e-11,-0.35761515279867817,2.346878247294626e-11,-0.49115895684758193,4.122842345299915e-11,-0.3224158730737774,2.8625310455332453e-11,0.0
153.0,-0.06668957813947532,7.891243214430688e-12,-0.6580894470068206,7.24383886208102e-11,-0.49211802962093065,2.6754303633635956e-11,-0.36118414322011916,7.863421025433581e-11,-0.49211802962093065,5.3508697472892663e-11,-0.3303513351037888,8.229667294856746e-11,0.0
154.0,-0.06402665290167242,5.6481597177082676e-11,-0.6641607530663484,2.8722024758565112e-11,-0.4930006878583777,7.368815453656641e-11,-0.3647996290782522,6.050404621760208e-11,-0.49300068786433815,1.3535162574074278e-11,-0.3381557195607383,7.799778184436335e-12,5.960454352305078e-12
155.0,-0.06137795319420944,4.773631490095909e-11,-0.6702836446799212,3.5204839043956326e-11,-0.4938109161780305,2.3973031892943197e-11,-0.3684663441619499,2.0875745576631743e-11,-0.4938109161780305,4.7945803577365e-11,-0.3458306732494022,1.857953201012119e-11,0.0
156.0,-0.058745484260347494,1.5246137685664962e-11,-0.6764705464831775,9.482248319869768e-11,-0.4945525692002687,1.0226002336577444e-11,-0.3721892538837297,5.042588568926476e-11,-0.4945525692002687,2.0452056714859168e-11,-0.3533778242825413,6.647266244386163e-11,0.0
157.0,-0.056130781539547384,1.602540322664936e-11,-0.6827348455598568,2.9000135626233714e-12,-0.49522937620882723,3.345434346213594e-11,-0.37597358317472696,7.323674999781815e-11,-0.49522937620882723,6.690840936851572e-11,-0.36079878055502057,1.5804814054720673e-11,0.0
158.0,-0.05353494504742727,2.56269450105151e-11,-0.6890910516590816,1.3959389200124406e-11,-0.4958449458953265,3.556677868887803e-11,-0.3798248471453245,9.586187399435175e-11,-0.4958449458953265,7.113381411683051e-11,-0.36809512745499207,2.4861316130775357e-11,0.0
159.0,-0.050958674971656265,1.7631174298315955e-11,-0.6955549890030999,6.104328154066252e-11,-0.49640277112764297,4.892847411952506e-12,-0.38374888478561653,4.6239678752613145e-11,-0.49640277112764297,9.785713905863247e-12,-0.37526842824536405,5.521791704432566e-11,0.0
160.0,-0.048402307339372896,6.557365761494793e-12,-0.7021440284831355,3.439210027877948e-11,-0.49690623390901656,2.057428706569997e-11,-0.3877518965997824,3.937061787695484e-11,-0.49690623390901656,4.114881872741005e-11,-0.3823202240638007,6.639388778345579e-11,0.0
161.0,-0.04586584932697649,4.959596622278184e-11,-0.7088773711390723,9.030348691041468e-11,-0.49735861027755157,9.497322589827051e-11,-0.3918404862816519,9.016087876290158e-11,-0.4973586102894725,6.334704809318747e-11,-0.3892520301080259,3.527417941073807e-12,1.1920908704610156e-11
162.0,-0.04334901330629887,2.4962087952218326e-11,-0.7157763972042475,6.089873050285632e-11,-0.49776307539645365,7.803311209003683e-11,-0.3960217072301701,6.646583283753671e-11,-0.4977630753845327,8.610080877435866e-11,-0.3960653394505194,4.38707308328401e-11,1.1920964215761387e-11
163.0,-0.04085124919800519,7.723224837441478e-11,-0.7228651016961861,7.394440615371423e-11,-0.49812270845353096,3.493997192266507e-11,-0.4003031148584321,8.044198640533295e-11,-0.49812270845353096,6.98801598184029e-11,-0.4027616207496992,2.184160101045829e-11,0.0
164.0,-0.03837177498917184,2.970793056000787e-11,-0.7301706431131092,9.341027951137448e-12,-0.49844049788256184,5.794018715331306e-11,-0.4046928253161778,5.5898063955339694e-11,-0.4984404978885223,6.401751524720556e-12,-0.4093423167240425,4.159745898429934e-12,5.960454352305078e-12
165.0,-0.035909605009728715,1.0936390681948183e-11,-0.7377240451474811,6.084910353365558e-12,-0.4987193464058468,7.283403784599796e-11,-0.40919958169863013,3.645433954702071e-11,-0.4987193463939259,6.122887266646337e-11,-0.4158088472038426,1.5326371899035407e-11,1.1920908704610156e-11
166.0,-0.03346357572934934,6.646375116936554e-11,-0.7455611071111777,5.2800930294694126e-11,-0.49896207604099924,1.2777027699750754e-11,-0.4138328292437139,8.487804903367646e-11,-0.49896207604099924,2.555390274383562e-11,-0.4221626068423924,2.0173684771307432e-11,0.0
167.0,-0.03103236936088974,8.712849886016727e-11,-0.7537236052789976,1.5380224871464065e-11,-0.4991714333699955,3.719417373919398e-11,-0.4186028008527976,3.857969499421188e-11,-0.4991714333699955,7.438819915953077e-11,-0.4284049666418617,5.206752195195674e-11,0.0
168.0,-0.028614534936590226,3.8083147746448276e-11,-0.7622609087943936,2.595917925063418e-11,-0.4993500945459647,4.638890356914449e-11,-0.4235206146277323,6.355754811337988e-11,-0.4993500945459647,9.27778971270693e-11,-0.4345372724274187,3.326889154789403e-11,0.0
169.0,-0.02620850700009162,3.6735475772431414e-11,-0.7712322026365742,8.521375272074749e-11,-0.4995006703953474,7.061635206705857e-11,-0.42859838604679157,2.3881563393501892e-11,-0.4995006703834265,1.464457721755963e-11,-0.4405608471360487,1.3728145790287138e-11,1.1920908704610156e-11
170.0,-0.023812622534154317,8.968897846628465e-11,-0.7807096243029521,4.576253265220487e-11,-0.49962571156773516,9.090884837449631e-12,-0.4338493571636959,9.888867502638732e-12,-0.49962571156773516,1.818190650121343e-11,-0.44647699081655406,5.224062919447284e-11,0.0
171.0,-0.02142513536113988,6.359385240628512e-12,-0.7907828262346669,1.9108187254701647e-11,-0.4997277136380293,4.180659835787033e-11,-0.43928804609605976,4.456945923436706e-11,-0.4997277136380293,8.361309756545199e-11,-0.4522869821554323,2.0498387329984796e-11,0.0
172.0,-0.019044228731511903,8.082209207449509e-11,-0.8015658562428527,5.992924212439021e-11,-0.4998091221847563,2.588728168460841e-11,-0.4449304214524201,3.174840945696644e-11,-0.4998091221847563,5.177463124027282e-11,-0.4579920784768773,9.716727409118074e-11,0.0
173.0,-0.01666802638645789,2.3306828689229064e-11,-0.8132079981151121,6.280360953514474e-11,-0.499872337820699,9.560325552320382e-11,-0.4507941061324334,6.450225076282123e-11,-0.49987233779685714,1.1038543451698246e-11,-0.4635934943804739,6.202775376933523e-11,2.3841872920371543e-11
174.0,-0.014294602094631972,1.64044541839381e-11,-0.8259118091250741,2.6269424135971775e-11,-0.4999197212712131,2.1968459793268377e-11,-0.45689861774816654,2.804712018189548e-11,-0.4999197212712131,4.3936845671053645e-11,-0.4690924688798695,1.6299759292130473e-11,0.0
175.0,-0.011921987376917019,9.542701698284084e-11,-0.8399652928070171,5.913151912562142e-11,-0.4999535985955935,7.279305369605913e-12,-0.4632656534866096,1.737752997055253e-11,-0.4999535985955935,1.455866986888781e-11,-0.4744901860570714,8.66629290506289e-11,0.0
176.0,-0.009548178754349237,7.001292774699852e-11,-0.8558048489935222,3.2116774517643165e-12,-0.49997626600312967,8.686113051834541e-11,-0.4699194301899293,6.562855120462174e-11,-0.499976265955446,5.950674070116574e-11,-0.4797877933729942,4.1423544629498794e-11,4.7683690329591855e-11
177.0,-0.007171143088694136,2.8145888397723695e-11,-0.8741555131467724,7.381163388830991e-11,-0.4999899949075793,2.4303411824627772e-11,-0.47688709305259025,7.618925976227153e-11,-0.4999899949075793,4.860685522749085e-11,-0.4849865237377695,9.92144359997426e-11,0.0
178.0,-0.004788822923022655,9.10781294133356e-11,-0.8964121380678509,5.1283821807246444e-11,-0.4999970371246931,2.8020574430744073e-11,-0.4841992118180911,6.99244065427429e-11,-0.4999970371246931,5.60411270182025e-11,-0.49008750019825004,7.553504327532437e-11,0.0
179.0,-0.0023991402010409032,9.355905329980208e-11,-0.9261265844950464,2.7637044128919763e-12,-0.4999996297836379,1.1530475814169896e-11,-0.49189038712508293,1.938154628108868e-11,-0.4999996297836379,2.3060963749937132e-11,-0.4950906250981876,3.826512875124982e-11,0.0
