alpha_deg,case_id,material_index,sigma_prime,factor_truncation,d_over_l,delta_prime,J_prime,lambda0,lambda,g2,Q_prefactor,base_terminal_log_deviation,process_terminal_log_deviation
12,C_positive_material2,2,0.5,60,0.0437634894193111,0.101298881446478,0.0300759999081608,-0.0922920028734504,-0.856829937650789,-0.012042035061799,0.0453643500324532,2.32110775017765e-10,5.25349565231268e-09
13,C_negative_material1,1,-0.5,60,0.0527336213707349,0.0541530345930895,0.0173807541642465,-0.0967207147783366,-0.849622049790893,0.00113220960819022,-0.0576867429904877,3.08917336151129e-11,0
14,C_negative_material1,1,-0.5,60,0.06014286560656,0.0627901677215226,0.0197205158020709,-0.10069007005674,-0.842508825521593,0.0164845679351651,-0.0667793707448427,4.08384437377284e-12,0
15,C_negative_material1,1,-0.5,60,0.067773122743825,0.0717780388462509,0.0221048158380613,-0.104219925278955,-0.835469692106478,0.0339281012443369,-0.0763511171910599,5.36459765498732e-13,0
16,C_negative_material1,1,-0.5,60,0.0755625142170552,0.0810278516288191,0.0245115508901898,-0.107330395799027,-0.828487300564879,0.0533656156317706,-0.0863475235742869,7.01660951563074e-14,0
17,C_negative_material1,1,-0.5,60,0.0834488276045441,0.0904482904142745,0.0269188745743963,-0.110041528415832,-0.82154681109498,0.0746916039327608,-0.0967126880646205,9.10382880192624e-15,0
18,C_negative_material1,1,-0.5,60,0.0913699005442023,0.0999466210193635,0.0293053445989446,-0.112373069991198,-0.81463536624314,0.0977937372775166,-0.107389721688542,1.11022302462516e-15,0
19,C_negative_material1,1,-0.5,60,0.0992639657022602,0.109429704571986,0.0316500546604436,-0.114344310198076,-0.807741694766051,0.12255400459265,-0.118321139266111,0,0
20,C_negative_material1,1,-0.5,60,0.107069971268252,0.118804942434258,0.0339327559503024,-0.115973980777124,-0.800855808528148,0.148849583215577,-0.12944920197333,4.44089209850063e-16,0
21,C_negative_material1,1,-0.5,60,0.114727888563879,0.127981166865684,0.0361339719670142,-0.117280197287993,-0.793968766944952,0.17655350959762,-0.140716225038039,4.44089209850063e-16,0
22,C_negative_material1,1,-0.5,60,0.122179015748336,0.136869488704607,0.0382351093374982,-0.118280432336976,-0.78707249133101,0.205535206507487,-0.152064861318176,4.44089209850063e-16,0
23,C_negative_material1,1,-0.5,60,0.129366284282116,0.145384110091201,0.0402185664787952,-0.118991511692271,-0.780159616698196,0.235660912387682,-0.163438369110385,4.44089209850063e-16,0
24,C_negative_material1,1,-0.5,60,0.136234572738588,0.153443107179686,0.0420678411661183,-0.119429626635243,-0.773223372054259,0.266794049492697,-0.174780870460415,4.44089209850063e-16,0
25,C_negative_material1,1,-0.5,60,0.142731030692977,0.160969184927008,0.0437676374020869,-0.11961035742022,-0.76625748266563,0.298795559959463,-0.186037604458817,4.44089209850063e-16,0
26,C_negative_material1,1,-0.5,60,0.148805413721609,0.167890403402543,0.0453039713885021,-0.11954870390219,-0.759256089441428,0.331524232790565,-0.19715517845264,4.44089209850063e-16,0
27,C_negative_material1,1,-0.5,60,0.154410428980207,0.174140872651109,0.0466642758767432,-0.119259120308106,-0.752213681801994,0.364837039628573,-0.208081818748784,4.44089209850063e-16,0
28,C_negative_material1,1,-0.5,60,0.159502089375509,0.179661410972791,0.0478375017092439,-0.11875555183044,-0.74512504126774,0.39858949294252,-0.218767621194204,4.44089209850063e-16,0
29,C_negative_material1,1,-0.5,60,0.164040072975359,0.184400159563603,0.0488142149560885,-0.118051471258334,-0.737985193643503,0.432636036639619,-0.229164800953983,4.44089209850063e-16,0
30,C_negative_material1,1,-0.5,60,0.167988083034358,0.188313144837533,0.0495866877036201,-0.11715991427075,-0.730789368148055,0.466830475993219,-0.239227939868333,4.44089209850063e-16,0
31,C_negative_material1,1,-0.5,60,0.171314202837084,0.191364778438567,0.0501489802647299,-0.116093512328738,-0.7235329621945,0.501026451009194,-0.24891422892376,4.44089209850063e-16,0
32,C_negative_material1,1,-0.5,60,0.173991238523207,0.193528284021063,0.0504970123673343,-0.114864522345327,-0.716211510797343,0.535077954835748,-0.258183702640914,4.44089209850063e-16,0
