alpha_deg,lambda0,lambda,lambda1,lambda2,lambda1_D1_printed,lambda0_residual,lambda_residual,lambda1_residual,lambda2_residual
153,-0.0666895781407914,-0.658089446998819,-0.492118029618999,-0.361184143214787,-0.33035133525457,3.88578058618805e-16,2.22044604925031e-16,1.25593979660721e-15,4.44089209850063e-16
154,-0.0640266528920615,-0.664160753062996,-0.493000687863837,-0.364799629082539,-0.338155719576145,6.10622663543836e-16,5.55111512312578e-16,6.17214612752548e-15,2.22044604925031e-16
155,-0.0613779531859081,-0.670283644684277,-0.493810916179856,-0.368466344160401,-0.345830673289231,3.33066907387547e-16,3.33066907387547e-16,6.76542155630955e-16,8.88178419700125e-16
156,-0.0587454842576328,-0.676470546470697,-0.494552569199466,-0.3721892538798,-0.353377824438238,2.77555756156289e-16,2.22044604925031e-16,1.31838984174237e-16,2.22044604925031e-16
157,-0.0561307815366197,-0.682734845559449,-0.495229376211536,-0.375973583180737,-0.360798780514285,4.44089209850063e-16,3.33066907387547e-16,1.75207071073658e-16,6.66133814775094e-16
158,-0.0535349450522417,-0.68909105165698,-0.495844945892348,-0.379824847137017,-0.368095127383953,2.77555756156289e-16,2.22044604925031e-16,7.97972798949331e-16,7.7715611723761e-16
159,-0.0509586749682418,-0.695554988993207,-0.496402771127218,-0.383748884781372,-0.375268428421669,8.88178419700125e-16,4.44089209850063e-16,3.83373888190874e-16,1.55431223447522e-15
160,-0.0484023073406857,-0.702144028489163,-0.496906233907159,-0.387751896603624,-0.382320223824922,5.55111512312578e-17,1.66533453693773e-16,8.82974249272195e-16,1.88737914186277e-15
161,-0.045865849337271,-0.708877371121873,-0.497358610286491,-0.39184048627227,-0.389252030093595,8.04911692853238e-16,5.55111512312578e-17,1.38777878078145e-17,4.44089209850063e-16
162,-0.0433490133009091,-0.715776397216924,-0.497763075388771,-0.396021707222766,-0.396065339656599,5.55111512312578e-17,5.55111512312578e-17,7.27716498172271e-16,1.4432899320127e-15
163,-0.0408512491805953,-0.722865101713114,-0.49812270844992,-0.400303114868067,-0.40276162063063,4.71844785465692e-16,2.77555756156289e-16,8.89913143176102e-16,8.88178419700125e-16
164,-0.0383717749821515,-0.730170643115477,-0.498440497888871,-0.404692825323408,-0.409342316697416,2.77555756156289e-17,5.55111512312578e-17,3.51715184754298e-16,6.66133814775094e-16
165,-0.0359096050070073,-0.737724045149203,-0.498719346397454,-0.409199581703749,-0.415808847087145,7.21644966006352e-16,1.66533453693773e-16,2.85795692667179e-16,1.33226762955019e-15
166,-0.0334635757468566,-0.745561107128001,-0.498962076042565,-0.413832829256723,-0.422162606656996,8.32667268468867e-17,2.22044604925031e-16,2.34187669256869e-17,2.22044604925031e-16
167,-0.0310323693853242,-0.753723605273423,-0.49917143337487,-0.418602800846302,-0.428404966054726,2.4980018054066e-16,2.4980018054066e-16,4.72495306769183e-16,3.88578058618805e-16
168,-0.0286145349251436,-0.762260908805223,-0.499350094539421,-0.423520614615893,-0.434537271958319,3.33066907387547e-16,2.77555756156289e-17,5.90673343570103e-16,4.44089209850063e-16
169,-0.0262085070120173,-0.771232202678064,-0.499500670384547,-0.428598386051754,-0.440560847383463,1.80411241501588e-16,2.22044604925031e-16,2.40996458900078e-15,5.55111512312578e-16
170,-0.023812622565889,-0.780709624329387,-0.499625711566214,-0.433849357161381,-0.446476992051501,6.93889390390723e-17,5.55111512312578e-17,8.31583066296382e-17,2.22044604925031e-16
171,-0.0214251353586606,-0.790782826221308,-0.499727713645762,-0.439288046107944,-0.452286982811114,2.77555756156289e-17,4.02455846426619e-16,4.14869961301578e-16,0
172,-0.0190442286963326,-0.801565856190879,-0.499809122179394,-0.444930421442641,-0.457992074107653,3.19189119579733e-16,1.38777878078145e-16,4.6674903525501e-17,8.32667268468867e-17
173,-0.016668026374942,-0.813207998184819,-0.499872337798159,-0.45079410610908,-0.463593498494586,0,1.52655665885959e-16,4.67724817210247e-16,5.55111512312578e-17
174,-0.0142946020852313,-0.825911809163949,-0.499919721277235,-0.456898617735963,-0.469092467182011,1.31838984174237e-16,9.71445146547012e-17,5.26461469904649e-16,4.30211422042248e-16
175,-0.0119219874422095,-0.839965292683623,-0.499953598593206,-0.463265653495973,-0.474490170617612,1.70002900645727e-16,2.08166817117217e-17,3.52921359671188e-16,1.04083408558608e-16
176,-0.00954817881398105,-0.855804849003772,-0.499976265967612,-0.469919430144225,-0.479787779095876,8.84708972748172e-17,2.42861286636753e-17,2.01275357058356e-16,3.46944695195361e-17
177,-0.00717114312055392,-0.87415551355655,-0.499989994894355,-0.476887092979294,-0.484986443391655,6.93889390390723e-18,1.38777878078145e-17,3.4111456741941e-16,2.42861286636753e-17
178,-0.00478882276873969,-0.896412137441382,-0.499997037147533,-0.484199211713312,-0.490087295414561,1.12757025938492e-17,7.80625564189563e-18,4.49082045557653e-17,4.68375338513738e-17
179,-0.0023991398845168,-0.926126584627037,-0.499999629764857,-0.491890387064615,-0.49509144888082,3.79470760369927e-18,9.75781955236954e-19,8.48776511636664e-17,4.16333634234434e-17
